model,fold,case,scenario,postprocessing,cldice,hd95,nsd,nsd05,betti0,volume_delta,git_commit,seed,timestamp
M0_Star,0,PARSE_0027.nii.gz,GT_minus_drift_pos,lcc,0.8961015834830162,1.3201044584615265,0.9459064671928378,0.48205913535163153,19.0,-0.2668821720455592,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0027.nii.gz,GT_minus_drift_pos,none,0.9017817465300694,1.21875,0.953659966695593,0.4858315547529141,68.0,-0.26315227125703483,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0027.nii.gz,GT_minus_omission,lcc,0.828452296170144,1.3626039237889342,0.925812784628836,0.5310335949191909,32.0,-0.16048264923173436,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0027.nii.gz,GT_minus_omission,none,0.8254449673596372,1.3201044584615265,0.9292880509320284,0.5330625923890131,55.0,-0.1562114170924922,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0027.nii.gz,GT_star,lcc,0.9102704322461822,1.0,0.9493455202823178,0.5462710854248739,0.0,-0.2214077335390989,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0027.nii.gz,GT_star,none,0.9162936752668951,1.0,0.9566217969071125,0.550280959026501,87.0,-0.21744647138194406,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0036.nii.gz,GT_minus_drift_neg,lcc,0.8904380539761181,0.71875,0.9797409735762792,0.7704229140052444,116.0,0.006574091849576588,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0036.nii.gz,GT_minus_drift_neg,none,0.899510397163665,0.71875,0.9872529289454126,0.775596435997428,58.0,0.0133401591262985,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0036.nii.gz,GT_minus_drift_pos,lcc,0.912661621444863,0.71875,0.9792066188154074,0.7557863756976134,28.0,-0.09452136804617463,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0036.nii.gz,GT_minus_drift_pos,none,0.9216139624588825,0.71875,0.9881346964816458,0.7605698457899569,30.0,-0.08843485202014,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0036.nii.gz,GT_minus_omission,lcc,0.8279102349546199,0.71875,0.939793046791701,0.7801471744944154,21.0,0.030849553269108942,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0036.nii.gz,GT_minus_omission,none,0.8373575331272491,0.71875,0.9465626654860189,0.7853130886961655,37.0,0.037778797212574,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0036.nii.gz,GT_star,lcc,0.9215726982058248,0.71875,0.982813301331364,0.8354565409153384,0.0,-0.037139813994866294,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0036.nii.gz,GT_star,none,0.9312849443162275,0.71875,0.9898480468702222,0.840557256607943,58.0,-0.030667586218154068,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0040.nii.gz,GT_minus_drift_neg,lcc,0.801919013915378,1.3046875,0.9437540804826186,0.6010263667565132,307.0,0.1425532724666241,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0040.nii.gz,GT_minus_drift_neg,none,0.8000956177039886,1.3046875,0.944295943935906,0.6006742529212171,199.0,0.145936322539994,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0040.nii.gz,GT_minus_drift_pos,lcc,0.8307087593512742,1.1939649777795254,0.9433607993637825,0.6301721549229312,71.0,-0.019836677537901186,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0040.nii.gz,GT_minus_drift_pos,none,0.8298547069803199,1.1939649777795254,0.9452180581290872,0.6301717016465849,37.0,-0.016934456976394063,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0040.nii.gz,GT_minus_omission,lcc,0.7571364551067437,2.352058839853462,0.8962550417233117,0.614080021631528,4.0,0.15962350638648537,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0040.nii.gz,GT_minus_omission,none,0.7563487948509388,2.2924928967481284,0.8970750117943073,0.6139255198855765,104.0,0.16305710067298448,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0040.nii.gz,GT_star,lcc,0.8437383687536688,1.0,0.9522497120283803,0.6761078957224731,0.0,0.07765851790692943,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0040.nii.gz,GT_star,none,0.8437602956234358,1.0,0.9535998928875954,0.6761188665816344,108.0,0.08084941746140009,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0043.nii.gz,GT_minus_drift_neg,lcc,0.8474793506909802,1.296875,0.9447897548839675,0.6981035115624618,87.0,0.03026619262121048,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0043.nii.gz,GT_minus_drift_neg,none,0.8473262499519123,1.191835219905105,0.9460168119071489,0.6990295202802255,13.0,0.03520786671218391,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0043.nii.gz,GT_minus_drift_pos,lcc,0.8682175476927182,1.191835219905105,0.9460460285935203,0.6955229763944268,17.0,-0.08456607221463898,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0043.nii.gz,GT_minus_drift_pos,none,0.8687404252242407,1.191835219905105,0.9482414468396606,0.6967123111927824,57.0,-0.08017519133809042,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0043.nii.gz,GT_minus_omission,lcc,0.7662072202854342,3.8642270865675714,0.8879814942616875,0.6986342219836583,12.0,0.05587152322966844,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0043.nii.gz,GT_minus_omission,none,0.7681836124145659,3.809433000481338,0.8895138626913246,0.6999037813505369,62.0,0.060936013346019446,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0043.nii.gz,GT_star,lcc,0.87815249420519,1.0,0.9476217440543602,0.7705166446014706,0.0,-0.016891516104940333,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0043.nii.gz,GT_star,none,0.8783150574968325,1.0,0.9487805362068623,0.7713758409239745,74.0,-0.012176034069059764,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0046.nii.gz,GT_minus_drift_neg,lcc,0.8305251242451639,3.087812177806506,0.925763348856555,0.6896024124126354,74.0,0.07781307051786324,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0046.nii.gz,GT_minus_drift_neg,none,0.8177612066000375,3.087812177806506,0.925293953173517,0.6877842037879123,10.0,0.08723078978225698,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0046.nii.gz,GT_minus_drift_pos,lcc,0.8614949828060088,2.8752899023759464,0.9288383540749471,0.6730266578847021,17.0,-0.026451798869798964,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0046.nii.gz,GT_minus_drift_pos,none,0.85027891095862,2.7228355841225635,0.93016686826479,0.6722701781394326,67.0,-0.017945125589065337,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0046.nii.gz,GT_minus_omission,lcc,0.7374072835577927,7.96308887595318,0.864519451336548,0.6602843187740899,5.0,0.11949525549414548,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0046.nii.gz,GT_minus_omission,none,0.7272091359300322,7.838941582060242,0.8649901494958859,0.6592498165102175,79.0,0.12927718551750186,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0046.nii.gz,GT_star,lcc,0.8688328405531708,2.8752899023759464,0.9304127076231232,0.7344454921302677,0.0,0.03684586278289427,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0046.nii.gz,GT_star,none,0.8575435935856213,2.771484375,0.9308820675727151,0.7332236109214526,84.0,0.0459056186192618,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0055.nii.gz,GT_minus_drift_neg,lcc,0.8108475067908054,1.2890625,0.9349021406934147,0.6378497264257234,155.0,0.03806277924160843,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0055.nii.gz,GT_minus_drift_neg,none,0.8111219118219051,1.1897144750849098,0.9370291395361352,0.6378074046171232,67.0,0.04090133781392803,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0055.nii.gz,GT_minus_drift_pos,lcc,0.8102481338382141,1.4412156886229113,0.9239948055766545,0.6235941979271311,38.0,-0.08675166297117516,c1e84f2,42.0,2026-09-07T16:52:52+00:00
M0_Star,0,PARSE_0055.nii.gz,GT_minus_drift_pos,none,0.812514059639515,1.353085756503676,0.9274098464809124,0.6238140910118332,50.0,-0.08425440659365271,c1e84f2,42.0,2026-09-07T16:52:52+00:00
