family,metric,scenario,model_a,model_b,delta_median,d,ci_low,ci_high,p_raw,n,p_fdr,git_commit,seed,timestamp
inter_model_by_reference,betti0,GT_star,M0_Star,M2_Drift_mu0,0.0,-0.08509115536383223,-4.170450972484645,1.0,0.4257742127790779,85,0.5768553850555249,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_star,M1_Omission,M2_Drift_mu0,2.0,0.055494416839296824,-1.0,4.0,0.46158384928621066,85,0.6122059474743425,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_minus_omission,M0_Star,M1_Omission,-1.0,-0.13836573705830274,-8.0,1.0,0.2714079366652752,85,0.4023223531744079,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_minus_omission,M0_Star,M2_Drift_mu0,0.0,-0.08509115536383223,-4.170450972484645,1.0,0.4257742127790779,85,0.5768553850555249,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_minus_omission,M1_Omission,M2_Drift_mu0,2.0,0.055494416839296824,-1.0,4.0,0.46158384928621066,85,0.6122059474743425,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_minus_drift_neg,M0_Star,M1_Omission,1.0,0.0728127257442996,-5.0,4.0,0.7496983708480887,85,0.8746480993227701,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_minus_drift_neg,M0_Star,M2_Drift_mu0,0.0,0.029207475492405495,-3.0,1.0,0.9473745484970673,85,0.9947432759219207,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_minus_drift_neg,M1_Omission,M2_Drift_mu0,-1.0,-0.053873373683197556,-6.0,1.0,0.6490015521883274,85,0.800920646585832,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_minus_drift_pos,M0_Star,M1_Omission,-1.0,-0.14174933303538173,-8.0,1.0,0.2580517676637223,85,0.40141386081023467,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_minus_drift_pos,M0_Star,M2_Drift_mu0,-1.0,-0.11426799892873898,-7.0,0.0,0.27610418599714637,85,0.4045247376237261,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,betti0,GT_minus_drift_pos,M1_Omission,M2_Drift_mu0,1.0,0.019822625927336874,-6.0,1.0,0.7129204078180367,85,0.8555044893816439,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,volume_delta_abs,GT_star,M0_Star,M1_Omission,-0.026346780537139097,-0.1539208308559151,-0.03503290677633379,-0.007607527199272296,0.11520018659634465,85,0.20058976347020796,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,volume_delta_abs,GT_star,M0_Star,M2_Drift_mu0,-0.027943403466929695,-0.17565705831215425,-0.04085945235034211,-0.016864241499194497,0.1245854996357817,85,0.20930363938811325,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,volume_delta_abs,GT_star,M1_Omission,M2_Drift_mu0,0.0010940472954607998,-0.08578554955077163,-0.008172279180126803,0.004072688096569299,0.4928733575153694,85,0.6402272479065624,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,volume_delta_abs,GT_minus_omission,M0_Star,M1_Omission,0.0175214713984768,0.22330873835427162,-0.011028572962381397,0.033658046239605194,0.06287726887382354,85,0.12309166371886453,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,volume_delta_abs,GT_minus_omission,M0_Star,M2_Drift_mu0,0.017751272473076004,0.20229366046072347,-0.0207131014482707,0.0336777252825226,0.0727602060143766,85,0.13683262623599182,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,volume_delta_abs,GT_minus_omission,M1_Omission,M2_Drift_mu0,0.0024965359071145027,-0.0005102312970188227,-0.005665641726454895,0.007346746860490201,0.9877639861730296,85,1.0,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,volume_delta_abs,GT_minus_drift_neg,M0_Star,M1_Omission,-0.017887577710325092,0.004184776688389184,-0.02952927564646951,0.012303198230126516,0.9249440069635815,85,0.9947432759219207,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,volume_delta_abs,GT_minus_drift_neg,M0_Star,M2_Drift_mu0,-0.020264103064059,0.004827325663902312,-0.03197066460652873,0.01195942144710821,0.9458514468741032,85,0.9947432759219207,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,volume_delta_abs,GT_minus_drift_neg,M1_Omission,M2_Drift_mu0,0.0030231400845981,0.002805637736891306,-0.004625499603127201,0.007298275660737305,0.8660342919641761,85,0.956430710932572,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,volume_delta_abs,GT_minus_drift_pos,M0_Star,M1_Omission,-0.032281690490525296,-0.5620695112753719,-0.040403003240654906,-0.0287127417483308,2.2928864970739127e-06,85,9.02824058222853e-06,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,volume_delta_abs,GT_minus_drift_pos,M0_Star,M2_Drift_mu0,-0.042233286541498494,-0.6235679674232362,-0.05014205744184089,-0.0325649265215969,6.657064784613257e-07,85,3.10663023281952e-06,c1e84f2,42,2026-09-07T15:21:00+00:00
inter_model_by_reference,volume_delta_abs,GT_minus_drift_pos,M1_Omission,M2_Drift_mu0,-0.0034723851532073025,-0.2405293344880993,-0.010207211322948107,0.002537214215360406,0.033391353318548346,85,0.07012184196895153,c1e84f2,42,2026-09-07T15:21:00+00:00
